"Day","Items","Note","Amount"
"86","Sales E Commerce","Revenue - E-Commerce Sales","6914"
"86","Retail","Revenue - Retail Sales New York - Mouthwash","5828"
"86","Retail","Revenue - Retail Sales New York - Body Wash","5859"
"86","Retail","Revenue - Retail Sales New York - Shampoo","17136"
"86","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","256"
"86","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","496"
"86","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","756"
"86","Retail","Revenue - Retail Sales Chicago - Mouthwash","1054"
"86","Retail","Revenue - Retail Sales Chicago - Body Wash","1512"
"86","Retail","Revenue - Retail Sales Chicago - Shampoo","2145"
"86","Retail","Revenue - Retail Sales San Francisco - Mouthwash","128"
"86","Retail","Revenue - Retail Sales San Francisco - Body Wash","372"
"86","Retail","Revenue - Retail Sales San Francisco - Shampoo","693"
"86","Rental Expense","Cash Payment - RentalNew York","(8040)"
"86","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","(276)"
"86","Rental Expense","Cash Payment - RentalDetroit","(1200)"
"86","Rental Expense","Cash Payment - RentalWashington, D.C.","(2440)"
"86","Rental Expense","Cash Payment - RentalChicago","(1480)"
"86","Rental Expense","Cash Payment - RentalSan Francisco","(2240)"
"86","Rental Expense","Cash Payment - RentalMiami","(1200)"
"85","Wholesales (B2B)","Revenue - B2B SO ID: 14042","900240"
"85","Human Resource Expense","Counselled","(2000)"
"85","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(300)"
"85","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(300)"
"85","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(200)"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(100)"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(100)"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(100)"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(200)"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(200)"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(200)"
"85","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(100)"
"85","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(100)"
"85","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(100)"
"85","Salary Expense","Cash Payment - Salary Expense","(25868)"
"85","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15225","(100)"
"85","Sales E Commerce","Revenue - E-Commerce Sales","5346"
"85","Retail","Revenue - Retail Sales New York - Mouthwash","5270"
"85","Retail","Revenue - Retail Sales New York - Body Wash","5922"
"85","Retail","Revenue - Retail Sales New York - Shampoo","16632"
"85","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","256"
"85","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","558"
"85","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","819"
"85","Retail","Revenue - Retail Sales Chicago - Mouthwash","992"
"85","Retail","Revenue - Retail Sales Chicago - Shampoo","2080"
"85","Retail","Revenue - Retail Sales San Francisco - Mouthwash","128"
"85","Retail","Revenue - Retail Sales San Francisco - Body Wash","372"
"85","Retail","Revenue - Retail Sales San Francisco - Shampoo","693"
"85","Rental Expense","Cash Payment - RentalNew York","(8040)"
"85","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","(282)"
"85","Rental Expense","Cash Payment - RentalDetroit","(1200)"
"85","Rental Expense","Cash Payment - RentalWashington, D.C.","(2440)"
"85","Rental Expense","Cash Payment - RentalChicago","(1480)"
"85","Rental Expense","Cash Payment - RentalSan Francisco","(2240)"
"85","Rental Expense","Cash Payment - RentalMiami","(1200)"
